TIME		CURRENT
0		70
5		63
10		28
30		29.82
35		30.85
40		29.35
45		28.96
60		29.65
65		29.56
70		29.75
90		30.06
120		29.93
130		29.75
140		30.11
150		30.3
160		30.27
180		30.4
200		30.54
220		30.9
240		31.09
270		31.25
300		31.37
330		31.47
360		31.55
390		31.58
420		31.63
450		31.72
480		31.8
510		31.88
540		31.99
570		32.11
600		32.19
630		32.3
660		32.43
690		32.54
720		32.49
750		32.7
780		32.77
810		32.84
840		32.94
870		32.9
900		33.13
930		33.1
960		33.26
990		33.34
1020		33.39
1050		33.55
1080		33.6
1110		33.73
1140		33.93
1170		34.02
1200		33.93
