TIME		CURRENT
0		12
5		10
10		9
20		7.4
30		7.02
40		6.78
50		6.61
60		6.33
65		6.18
80		5.96
90		5.81
100		5.7
110		5.58
120		5.49
130		5.41
140		5.37
150		5.28
160		5.2
170		5.12
180		5.15
190		5.21
200		5.27
210		5.35
220		5.43
230		5.5
240		5.51
250		5.65
260		5.59
270		5.6
280		5.63
290		5.62
300		5.57
310		5.62
320		5.58
330		5.55
360		5.57
390		5.59
420		5.67
450		5.82
480		5.73
510		5.77
540		5.7
570		5.64
600		5.72
630		5.94
660		5.66
690		5.65
720		5.58
750		5.57
780		5.58
810		5.62
840		5.61
870		5.59
900		5.57
930		5.57
960		5.59
990		5.58
1020		5.52
1050		5.51
1080		5.51
1110		5.5
1140		5.48
1170		5.49
1200		5.5
