x1       x2
1/60   146
2/60   68
4/60   46
5/60   44
10/60  43
30/60  41.4
40/60  42.7
50/60  43.6
1      44.2
2      44.7
2.33   44.8
2.66   45.8
3      45.8
3.33   46.6
3.66   46
4      45.9
4.33   45.9
4.66   47.2
5      47.3
6      47.2
6.5    47.8
7      48.3
7.5    50.9
8      50
8.5    47.9
9      49.6
9.5    50.9
10     51
10.5   46.7
11     50
11.5   49.4
12     48.1
12.5   49.3
13     48
13.5   49.2
14     50.8
14.5   51
15     47.8
15.5   48.2
16     48.8
16.5   49
17     50.7
17.5   50.4
18     51.9
18.5   50.6
19     48.1
