Depth (nm)	Load (µN)
2.522321	2.203796
2.597658	2.206489
2.661293	2.138822
2.61766	        2.147811
2.465772	2.160362
2.566712	2.100672
2.458947	2.118959
2.562147	2.087739
2.593991	2.034526
2.575644	1.989343
2.674918	1.92292
2.637124	1.885524
2.656736	1.804979
2.356937	1.841919
2.521696	1.747873
2.365271	1.727099
2.609171	1.646439
2.52477	1.590269
2.475466	1.530925
2.561655	1.452058
2.448708	1.398029
2.468427	1.317949
2.566344	1.215166
2.515537	1.130625
2.45011	        1.070753
2.379992	1.001917
2.327533	0.927975
2.397648	0.846055
2.388441	0.784173
2.352728	0.692514
2.333437	0.620498
2.436182	0.49819
2.297004	0.425907
2.189213	0.359632
2.115253	0.315741
2.124554	0.251003
2.127654	0.172232
2.231833	0.061794
2.066768	0.015442
2.024022	-0.057464
1.934355	-0.098322
1.970062	-0.179303
1.924137	-0.229376
1.859021	-0.28348
1.902108	-0.349637
1.889742	-0.426327
1.670395	-0.455918
1.71795	-0.515014
1.560794	-0.53511
1.675445	-0.588644
1.724238	-0.668096
1.479524	-0.673401
1.577772	-0.723106
1.552869	-0.771073
1.430891	-0.803519
1.335676	-0.802523
1.509777	-0.888093
1.414699	-0.913888
1.584167	-1.015945
1.339356	-1.019281
1.353128	-1.075203
1.551348	-1.167188
1.228447	-1.162804
1.30776	        -1.231558
1.083309	-1.239963
1.161305	-1.275265
0.949332	-1.282877
0.994633	-1.294265
0.9538	        -1.286164
0.927667	-1.313392
0.916376	-1.334912
0.925988	-1.337128
0.833839	-1.373733
0.69798	-1.345827
0.586077	-1.32426
0.683053	-1.331145
0.681809	-1.34368
0.559536	-1.319054
0.638739	-1.334212
0.611723	-1.328039
0.588426	-1.323241
0.501169	-1.30621
0.69075	-1.3651
0.558326	-1.376036
0.450338	-1.353977
0.565596	-1.379908
0.452803	-1.408257
0.470294	-1.412046
0.415278	-1.40016
0.340277	-1.385071
0.370674	-1.423338
0.383376	-1.451791
0.239584	-1.42306
0.239156	-1.422605
0.290446	-1.432115
0.162205	-1.438363
0.27801	        -1.469155
0.122909	-1.454334
0.250503	-1.480602
0.147689	-1.501931
-0.095975	-1.430701
0.026847	-1.436106
-0.084451	-1.412436
-0.130054	-1.403996
0.032705	-1.435469
-0.036826	-1.429895
-0.021489	-1.454657
-0.17987	-1.453384
-0.148522	-1.458693
-0.267323	-1.434354
-0.247752	-1.436969
-0.290851	-1.408168
-0.257896	-1.377756
-0.342059	-1.386611
-0.343856	-1.360265
-0.41195	-1.346114
-0.402052	-1.348187
-0.275946	-1.373203
-0.345421	-1.390182
-0.257705	-1.434917
-0.43448	-1.399604
-0.610525	-1.364746
-0.679228	-1.333105
-0.566613	-1.371427
-0.584013	-1.322902
-0.697285	-1.287559
-0.67536	-1.291312
-0.49225	-1.328689
-0.727844	-1.324095
-0.787758	-1.269499
-0.918917	-1.242597
-0.773602	-1.266256
-0.709932	-1.284639
-0.721183	-1.281386
-0.731776	-1.278948
-0.774772	-1.276364
-0.809478	-1.286221
-0.693625	-1.344072
-0.917754	-1.300012
-0.956267	-1.292568
-0.904905	-1.303014
-0.919768	-1.317031
-1.04026	-1.289916
-0.926642	-1.348351
-0.815206	-1.375276
-0.915743	-1.409789
-1.088848	-1.374573
