	Force(kN)	Displ1(mm)
0.380747	-0.002415
0.380169	-0.002928
0.381198	-0.003162
0.380466	-0.003217
0.420643	-0.002432
0.884471	0.003538
1.306152	0.009665
1.704992	0.014625
2.083572	0.021123
2.434626	0.026795
2.751466	0.032444
3.027382	0.038151
3.261748	0.045957
3.451199	0.053178
3.604916	0.062178
3.729167	0.071382
3.831332	0.081202
3.915556	0.090582
3.986652	0.10241
4.043809	0.113732
4.091464	0.125387
4.128804	0.136803
4.157851	0.149506
4.178605	0.161681
4.193024	0.175921
4.201963	0.188032
4.208297	0.202583
4.213569	0.216087
4.219487	0.229973
4.224446	0.243282
4.231281	0.258035
4.235886	0.27105
4.242491	0.285699
4.253431	0.298628
4.262141	0.313633
4.272268	0.326388
4.279915	0.341247
4.290438	0.353524
4.301669	0.368251
4.311067	0.381434
4.325528	0.394875
4.336696	0.40821
4.346636	0.422097
4.359784	0.434491
4.371244	0.447459
4.383121	0.460149
4.397645	0.473722
4.408397	0.4857
4.421399	0.498142
4.433985	0.510786
4.444779	0.522868
4.45951	0.535496
4.47145	0.548211
4.483744	0.560058
4.49808	0.572489
4.507332	0.584629
4.519521	0.596966
4.532274	0.609928
4.544089	0.620893
4.557841	0.63366
4.568594	0.644293
4.578532	0.657135
4.59341	0.668417
4.605079	0.681196
4.618082	0.69201
4.629167	0.705281
4.640085	0.71663
4.651192	0.728353
4.66134	0.739798
4.672987	0.752431
4.685531	0.763941
4.696158	0.775892
4.70691	0.786972
4.720058	0.799243
4.728164	0.810677
4.74	0.823786
4.752419	0.835768
4.762212	0.846757
4.772881	0.858289
4.781799	0.870588
4.791676	0.882043
4.803824	0.893236
4.812055	0.905211
4.823557	0.916403
4.834184	0.927815
4.842477	0.93973
4.852104	0.950747
4.862335	0.962312
4.870669	0.973548
4.880609	0.984165
4.890069	0.995922
4.899133	1.007043
4.908531	1.018126
4.918616	1.029039
4.926555	1.04045
4.937641	1.050689
4.944767	1.062544
4.952768	1.073243
4.962291	1.084397
4.971396	1.09508
4.979523	1.106229
4.988275	1.116561
4.994859	1.128038
5.004486	1.138041
5.011779	1.149091
5.020989	1.159851
5.029616	1.171186
5.038555	1.181677
5.04516	        1.192036
5.051932	1.202894
5.059476	1.212843
5.069519	1.223915
5.078437	1.234099
5.084251	1.244678
5.092773	1.255366
5.100733	1.265868
5.106984	1.276293
5.115986	1.287541
5.123133	1.298525
5.132134	1.308451
5.139219	1.318225
5.144907	1.329614
5.153076	1.340018
5.160806	1.350569
5.168183	1.360918
5.177518	1.371765
5.182581	1.382459
5.191104	1.392922
5.197167	1.403484
5.20444 	1.414682
5.213503	1.424921
5.220005	1.436042
5.227152	1.446774
5.233257	1.456855
5.239654	1.467532
5.246864	1.478379
5.255553	1.488448
5.260575	1.499274
5.266909	1.509288
5.274953	1.520217
5.280266	1.530446
5.287997	1.541167
5.294498	1.551773
5.302854	1.562456
5.306896	1.572382
5.313585	1.583843
5.320982	1.593764
5.327692	1.604107
5.332484	1.614889
5.341694	1.62641
5.345611	1.637498
5.352425	1.648455
5.35878	1.65836
5.365115	1.668823
5.371616	1.678761
5.378889	1.689279
5.384036	1.700675
5.389265	1.71093
5.394954	1.721777
5.401122	1.732274
5.407581	1.741883
5.414479	1.752105
5.418479	1.762865
5.426481	1.774205
5.431314	1.784329
5.438399	1.794727
5.444004	1.805081
5.447443	1.815676
5.451986	1.826184
5.459633	1.836483
5.465363	1.846881
5.471302	1.857126
5.477698	1.867907
5.483532	1.878415
5.488284	1.888758
5.493139	1.899857
5.497702	1.909783
5.506016	1.920631
5.511517	1.930536
5.516581	1.941525
5.520664	1.951529
5.525833	1.961981
5.531125	1.972226
5.538147	1.983763
5.543919	1.993361
5.549128	2.004044
5.554483	2.014311
5.55838	2.025344
5.564152	2.035698
5.568902	2.046863
5.576029	2.056855
5.58103	2.067385
5.583885	2.077838
5.58924	2.088225
5.593574	2.098414
5.59897	2.109185
5.606306	2.119846
5.60991	2.13031
5.613619	2.140061
5.618787	2.151281
5.6226	2.161963
5.629477	2.172131
5.634331	2.182639
5.639457	2.193047
5.64352	2.203676
5.647688	2.21369
5.65296	2.224515
5.657607	2.23453
5.660503	2.245837
5.667421	2.255337
5.671463	2.266184
5.675548	2.276121
5.679631	2.286596
5.685091	2.296972
5.689571	2.307874
5.695488	2.31802
5.698281	2.328122
5.702678	2.338509
5.707283	2.34952
5.711575	2.359075
5.716305	2.369462
5.72116	2.37963
5.725161	2.390882
5.729245	2.400754
5.733308	2.411415
5.737976	2.421178
5.741518	2.432561
5.74606	2.442204
5.749352	2.452744
5.755562	2.462923
5.758542	2.473222
5.764356	2.484211
5.767919	2.494336
5.772295	2.504755
5.776649	2.515832
5.780504	2.526088
5.784964	2.536596
5.787318	2.54695
5.792756	2.557413
5.79657	2.567976
5.800883	2.578396
5.803946	2.588848
5.808176	2.599717
5.813156	2.610115
5.818366	2.620173
5.822095	2.630999
5.825846	2.641254
5.829097	2.652408
5.83118	2.662959
5.837702	2.673752
5.841932	2.683985
5.844412	2.694964
5.84885	2.705252
5.851643	2.715913
5.855893	2.726454
5.860811	2.737509
5.863915	2.748027
5.868396	2.75894
5.871125	2.769284
5.874167	2.779342
5.87746	2.789762
5.882607	2.80131
5.885962	2.811839
5.889712	2.823048
5.892879	2.832964
5.8949	2.843866
5.898963	2.854143
5.904027	2.865056
5.906528	2.875925
5.911987	2.886312
5.914133	2.897072
5.916446	2.907393
5.921885	2.918196
5.923427	2.927991
5.926823	2.939156
5.931407	2.95054
5.934721	2.96027
5.93845	2.970591
5.941742	2.98135
5.945285	2.992176
5.949119	3.003396
5.950661	3.013169
5.954245	3.024224
5.958746	3.034841
5.960183	3.045798
5.964476	3.055736
5.967518	3.066758
5.970872	3.07766
5.975499	3.087773
5.97652	3.098511
5.980833	3.108953
5.984917	3.120161
5.987376	3.130143
5.991251	3.14087
5.99369	3.151629
5.99646	3.162662
6.00067	3.172688
6.002753	3.183338
6.007859	3.193911
6.009692	3.205142
6.010109	3.214784
6.01436	3.226036
6.017798	3.238012
6.021194	3.248486
6.02632	3.259443
6.027759	3.270356
6.030655	3.280743
6.033572	3.291678
6.036072	3.303051
6.03826	3.312868
6.043574	3.323847
6.045887	3.33476
6.047304	3.345015
6.050804	3.356081
6.052951	3.36706
6.057014	3.3776
6.060327	3.388732
6.062869	3.399273
6.065098	3.409112
6.067745	3.420025
6.069599	3.431398
6.073766	3.442267
6.076288	3.452566
6.079413	3.463479
6.082456	3.474633
6.084331	3.485831
6.085831	3.496349
6.090645	3.507131
6.093458	3.517627
6.095646	3.527642
6.097146	3.53873
6.100376	3.549577
6.104272	3.560709
6.105918	3.571205
6.109107	3.581659
6.112607	3.592155
6.11417	3.603637
6.115378	3.613784
6.118067	3.624104
6.120213	3.635368
6.125589	3.645777
6.12761	3.656405
6.127714	3.667384
6.135736	3.677902
6.136945	3.689122
6.13982	3.699268
6.142405	3.71051
6.145113	3.720239
6.148406	3.731919
6.149906	3.742021
6.151406	3.752759
6.155574	3.763057
6.157741	3.774497
6.159533	3.784884
6.162866	3.795709
6.164825	3.805701
6.166576	3.816505
6.169535	3.827944
6.171201	3.838484
6.175536	3.849353
6.174494	3.860003
6.176536	3.870456
6.179703	3.880097
6.183454	3.89169
6.187538	3.902515
6.189288	3.913143
6.190163	3.923661
6.191372	3.93453
6.193539	3.946211
6.196164	3.956466
6.199582	3.967664
6.202457	3.978269
6.204374	3.989029
6.205791	3.999548
6.206833	4.010679
6.210167	4.02065
6.213459	4.032242
6.215293	4.042958
6.215584	4.053476
6.218377	4.064609
6.221044	4.07482
6.223211	4.086149
6.226212	4.096777
6.228004	4.107932
6.229879	4.11891
6.231379	4.129845
6.233338	4.140517
6.236422	4.151517
6.237131	4.162496
6.241381	4.173146
6.243131	4.184146
6.243715	4.195213
6.246424	4.206038
6.24859	4.216535
6.248883	4.227754
6.2528	4.238645
6.254341	4.249777
6.2558	4.260186
6.258092	4.271515
6.260009	4.281201
6.262218	4.292837
6.265219	4.304144
6.265135	4.314444
6.269636	4.325992
6.27022	4.336949
6.271887	4.348234
6.274637	4.358665
6.276971	4.36949
6.276554	4.380666
6.279888	4.391294
6.280847	4.402426
6.283764	4.413339
6.286306	4.423923
6.288556	4.434617
6.290266	4.446209
6.290765	4.4571
6.293682	4.468386
6.295849	4.478904
6.296016	4.489751
6.298808	4.501519
6.30085	4.512103
6.301934	4.523651
6.303851	4.534126
6.306892	4.545345
6.308977	4.555952
6.309977	4.567522
6.311935	4.57872
6.312061	4.589852
6.314728	4.600326
6.316853	4.612313
6.319479	4.623445
6.320354	4.634731
6.321896	4.645688
6.324104	4.656688
6.324687	4.667754
6.327564	4.678492
6.330231	4.690106
6.330772	4.701545
6.331273	4.712392
6.335065	4.724093
6.334981	4.735773
6.337191	4.746708
6.339066	4.757687
6.340858	4.769476
6.344067	4.780937
6.344275	4.791806
6.346442	4.802719
6.346067	4.814596
6.348817	4.825333
6.351902	4.836246
6.352067	4.847576
6.353026	4.859037
6.355402	4.870102
6.356944	4.881629
6.357444	4.89252
6.36082	4.90374
6.361445	4.915091
6.36207	4.925894
6.363695	4.93753
6.365988	4.948641
6.367529	4.960035
6.369738	4.971934
6.371071	4.982321
6.37378	4.993497
6.372155	5.005265
6.374656	5.016331
6.376781	5.028186
6.377114	5.038223
6.379657	5.049333
6.380949	5.06121
6.382199	5.072933
6.384574	5.083539
6.385491	5.095702
6.387492	5.106987
6.388199	5.117812
6.38995	5.129865
6.390534	5.140996
6.393576	5.152063
6.394826	5.163633
6.396118	5.174831
6.397034	5.186051
6.397576	5.197752
6.401785	5.208862
6.402702	5.220389
6.404536	5.232288
6.40637	5.243201
6.406786	5.255122
6.406786	5.266801
6.407911	5.279446
6.411287	5.289438
6.412995	5.301491
6.413829	5.312644
6.414997	5.324456
6.415038	5.335456
6.415997	5.347553
6.418289	5.358663
6.420956	5.370474
6.421581	5.382483
6.422623	5.393703
6.422539	5.404637
6.424332	5.41612
6.42654	5.427844
6.42729	5.439326
6.429916	5.45151
6.431416	5.462861
6.432041	5.474717
6.432916	5.485498
6.433874	5.497309
6.433667	5.509317
6.437209	5.520801
6.437876	5.531582
6.439418	5.543152
6.44071	5.554481
6.44296	5.56695
6.443126	5.578192
6.444877	5.589849
6.446461	5.601595
6.445836	5.612486
6.447211	5.625174
6.450836	5.636679
6.452003	5.648512
6.451336	5.659709
6.452503	5.671455
6.454462	5.682982
6.455337	5.695188
6.455837	5.706297
6.457963	5.717846
6.459463	5.730074
6.458879	5.741337
6.460879	5.752688
6.459838	5.764412
6.462422	5.77607
6.465548	5.788342
6.464923	5.79978
6.467298	5.811548
6.466839	5.8236
6.469382	5.835104
6.470756	5.846938
6.47159	5.858245
6.472173	5.870605
6.472882	5.881868
6.472966	5.893877
6.474799	5.904614
6.477299	5.917609
6.477966	5.928873
6.480842	5.941056
6.480592	5.953328
6.480801	5.964854
6.48155	5.976425
6.483884	5.987995
6.484926	5.999981
6.48576	6.012144
6.484717	6.024065
6.487552	6.035898
6.487593	6.047249
6.49001	6.059345
6.49126	6.071901
6.492177	6.08299
6.491385	6.09548
6.493927	6.107401
6.492844	6.119344
6.49522	6.131418
6.497637	6.142397
6.496802	6.154208
6.497761	6.165976
6.49822	6.178773
6.499012	6.190431
6.501429	6.202199
6.501763	6.214076
6.502637	6.225602
6.50468	6.23772
6.504221	6.248918
6.506222	6.261759
6.50718	6.272913
6.509055	6.285229
6.510389	6.296886
6.509472	6.309005
6.510514	6.320553
6.511931	6.332803
6.511472	6.344789
6.51339	6.356907
6.514848	6.368587
6.51489	6.380224
6.516265	6.392298
6.517057	6.404701
6.518099	6.416424
6.519474	6.428258
6.519474	6.439653
6.520766	6.452954
6.520516	6.464569
6.521766	6.476621
6.523975	6.488103
6.523767	6.499936
6.524266	6.513698
6.5256	6.524304
6.525976	6.536445
6.527391	6.54876
6.529267	6.560681
6.529476	6.572645
6.530559	6.584391
6.530517	6.596443
6.531476	6.608977
6.531268	6.620898
6.53406	6.632819
6.53531	6.644608
6.535394	6.657231
6.536227	6.669064
6.53581	6.681687
6.537353	6.693432
6.538269	6.705879
6.540853	6.717887
6.541687	6.730247
6.54052	6.743176
6.542312	6.755359
6.54277	6.767193
6.544812	6.778938
6.545063	6.790772
6.545395	6.803832
6.546021	6.815972
6.547479	6.828287
6.547146	6.840296
6.549729	6.852655
6.549438	6.864839
6.550105	6.877374
6.550522	6.889251
6.552438	6.901742
6.551814	6.913487
6.552564	6.926197
6.552188	6.938512
6.554563	6.950521
6.557439	6.963844
6.554939	6.975064
6.556189	6.987072
6.556605	6.999476
6.557189	7.011746
6.559898	7.023755
6.559982	7.03607
6.559648	7.048211
6.56019	7.060482
6.560606	7.072578
6.562982	7.085245
6.563357	7.097253
6.562649	7.109218
6.562898	7.122278
6.564441	7.134462
6.565358	7.14612
6.565441	7.158698
6.566858	7.170751
6.567358	7.183329
6.569067	7.195601
6.567733	7.206689
6.570734	7.220626
6.571859	7.232546
6.571024	7.244643
6.571859	7.256783
6.571026	7.268836
6.572234	7.281633
6.572734	7.294474
6.573775	7.306658
6.575609	7.31928
6.576443	7.331244
6.57586	7.34391
6.575485	7.356709
6.579277	7.368322
6.578402	7.380813
6.579902	7.393698
6.578235	7.405663
